Generated Explanation,V1,BLEU,ROUGE,BLEURT,METEOR,BERTScore,BARTScore,Claude_Informativeness,Claude_Clarity,Claude_Effectiveness,Mean_Informativeness,Median_Informativeness,Mode_Informativeness,Mean_Clarity,Median_Clarity,Mode_Clarity,Mean_Effectiveness,Median_Effectiveness,Mode_Effectiveness
High unemployment causes increased reliance on subsidies as more people need financial support.,Unemployment can cause society to be overly dependent on subsidy funds ,0.028398387,0.3333333333333333,0.7454912066459656,0.2793141592920354,0.4101266264915466,0.5990726947784424,6,7,6,4.666666667,5,,5.666666667,6,6,4.666666667,5,
"Burning fossil fuels releases greenhouse gases, worsening climate crisis and deteriorating air quality and food sources.","Burning fossil fuels can cause climat crisis, poor quality od air and food. ",0.119547266,0.5517241379310345,0.750385046,0.6263166423594232,0.4735623002052307,0.591876745,6,6,6,7,7,7,6.5,6.5,6,6.5,6.5,7
Extreme weather events cause devastation by destroying infrastructure and disrupting ecosystems.,"Climate change is driving extreme weather events around the world. Severe wildfires and the smoke they produce, not only causes large scale devastation local to the flames, but decreases air quality, both indoors and outdoors, wherever the smoke travels.",0.005444476,0.24,0.3651406764984131,0.1372779327558361,0.2941729724407196,0.6111804962158203,5,6,4,5.833333333,6,6,4.833333333,4.5,3,5.166666667,5,5
Poor air quality causes respiratory and cardiovascular diseases by introducing harmful pollutants that damage lung and heart tissues.,"Severe drought causes the land to dry out, increasing the risk of wildfires and dust storms. The smoke and fine particulate matter produced by wildfires or dust storms, penetrates the lungs and bloodstream following inhalation. These effects can not only worsen existing respiratory and cardiovascular diseases, but be the cause for them, in previously healthy individuals.",0.014873972,0.1351351351351351,0.424339235,0.099650276,0.2266533523797989,0.6733800888061523,6,6,6,6.5,6.5,7,6.5,7,7,5.833333333,6,6
Poor air quality contains irritants that trigger asthma attacks in many asthmatics.,Poor air quality is the leading cause of triggers for most asthmatics.,0.1445892466616285,0.4166666666666667,0.7782631516456604,0.4326923076923077,0.6209056973457336,0.8140432357788085,6,7,6,5.5,5,5,5.75,5.5,5,5,5,5
"Air pollution releases harmful chemicals, causing respiratory and cardiovascular diseases.","As time goes by, the air quality decreases due to the high levels of contamination and so on. Air pollution can cause serious health problems that can be more dangerous if you already have respiratory pathologies. ",0.00939504,0.1739130434782609,0.5347509980201721,0.1321189632877944,0.3017468750476837,0.6658297538757324,6,6,6,6,6,,6.333333333,7,7,6,6,6
Poor indoor air quality can lead to sleeping problems due to reduced oxygen levels and increased pollutants.,The air we breathe is important for our psychophysical well-being and allows us to sleep better.,0.03037294,0.1764705882352941,0.4960345029830932,0.1461988304093567,0.2982011437416076,0.72794323,5,6,5,6,6,6,5.444444444,6,6,5.375,5,5
Remote work can cause a drop in productivity due to increased distractions and less direct supervision.,When the pandemic began people assumed that there could have have been a drop in productivity caused by remote working. ,0.1196454884596027,0.2222222222222222,0.5505661964416504,0.3640776699029126,0.3314598202705383,0.5320989608764648,5,6,4,6,6,7,6,6,6,6,6,6
"Remote work eliminates daily commutes, making suburban and exurban living more appealing to workers.","My long-term concern during the pandemic was the effect remote work would have on where workers would live. Whilst remote work is beneficial for many, workers moving to suburban and exurban areas poses a problem to footfall in the city. Urban houses would need more space to properly facilitate remote working.",0.010468806,0.2121212121212121,0.3918368220329284,0.1668841052402696,0.2802361249923706,0.6162060737609864,6,7,6,6.333333333,6,6,5.666666667,6,6,5.666666667,6,6
Remote work does not inherently cause depression; factors like isolation and work-life balance are more influential.,Consuming highly processed foods on a regular basis may raise your risk of cardiovascular disease.,0.021476912,0,0.2630208432674408,0.061728395,0.1217532902956008,0.6317698001861572,5,6,4,6.666666667,7,7,6,6,,5.666666667,5,5
"The pandemic led to job losses, forcing people to seek employment opportunities elsewhere.","The pandemic causes people without jobs to look elsewhere, while those able to work remotely have greater flexibility.",0.053259759,0.3225806451612903,0.6932975053787231,0.2994618550174105,0.5889201760292053,0.6407784461975098,5,6,5,6.25,6.5,7,6.25,6.5,7,5.75,6,7
"Poverty and lack of education lead to limited opportunities, prompting some to engage in crime as a survival strategy.",Poverty and a lack of education is normally the cause of crimes commited.,0.092465235,0.3749999999999999,0.6590091586112976,0.3619260204081632,0.4474509060382843,0.7064314842224121,5,6,5,6,6,7,6.142857143,6,7,5.571428571,6,5
"Poor education limits job opportunities, leading to poverty.","Poor education on budgeting, taxes, and household skills like cooking at home can lead to poverty. Without these skills, individuals may overspend on takeaways and struggle with proper budgeting. Better education and parental guidance are essential.",0.008379356,0.2272727272727273,0.4348167777061462,0.1475383968020197,0.3343116044998169,0.6296628475189209,6,6,6,6.666666667,7,7,6.333333333,7,7,7,7,7
"Poverty limits access to stable housing, leading to homelessness.","Most of the time homelessness is caused by poverty, and the cause of poverty is luck of jobs and poor education. You can't choose where you grow up, go to school and how job market looks like.",0.003466165,0.085106383,0.4309068918228149,0.1313910311339617,0.1924941092729568,0.6230729818344116,6,7,6,6.5,6.5,7,5.25,5,5,6.25,6.5,7
Social media spreads misinformation due to its rapid sharing capabilities.,"Social media has revolutionized how news spreads, enabling stories to go viral with unprecedented speed. Unfortunately, this speed often comes at the expense of accuracy, leading to the widespread circulation of misinformation. The rapid nature of social media platforms challenges traditional fact-checking processes in journalism, further contributing to this issue and disrupting long-established business models within the industry.",0.000756536,0.1428571428571428,0.4823611974716186,0.080468429,0.3258343040943146,0.6650454521179199,5,6,5,5.5,5.5,6,6,6,6,5.75,6,6
"Social media spread misinformation, exacerbating divisions and eroding societal trust.",Social media causes societal breakdowns.,0.080544964,0.4,0.6631907224655151,0.4782196969696969,0.5191261768341064,0.6911695957183838,6,6,6,4.857142857,5,5,3.625,3.5,2,5.142857143,6,7
"Cars increase in number, causing congestion and traffic jams.","Cars are the main cause of congestion and traffic not cyclists, pedestrians, and public transport users.",0.080168911,0.3999999999999999,0.5501486659049988,0.1923076923076923,0.3327445983886719,0.7064258813858032,4,6,4,6,6,6,4,4,,5,5,
Poverty decreases as education and skill development lead to economic growth and effective population control strategies.,"Poverty may result from inefficient government actions in education/skill development, economic development, population control, which may cause hunger.",0.050960456,0.3999999999999999,0.5688086748123169,0.2230659705742762,0.4519088864326477,0.62066226,6,6,5,6.333333333,6,6,6,6,,5.333333333,5,5
"Heavy rain increases water levels, which then flood and damage vulnerable low-lying areas.",Heavy rainfall is is a problem. It can cause partially actute issues to low lying areas and arable land that are prone to flooding and ,0.017850542,0.2051282051282051,0.53358233,0.1493975903614458,0.3361109495162964,0.5332589149475098,6,7,6,6.333333333,6,6,6.833333333,7,7,6,6,7
Disasters cause immeasurable financial loss and loss of life due to their destructive impact on communities and infrastructure.,"It is not possible to predict when natural disasters such as earthquakes, landslides, tsunamis, storms, heavy rains, etc. have to be faced in the coming adverse times. Such horrendous disasters cause immeasurable financial strain and significant loss of life. ",0.032130239,0.2807017543859649,0.5177922248840332,0.212104072,0.3374208211898803,0.6985382080078125,6,7,5,5.75,6,7,6,6,5,5.75,5.5,5
"Deforestation reduces trees that absorb CO2, increasing greenhouse gases and causing climate change.",Save the mother earth! Deforestation is the major cause of the climat change. ,0.058166354,0.3076923076923077,0.546315074,0.2973333333333333,0.2735511362552643,0.5812258720397949,6,7,6,5.75,5.5,5,4.75,5,5,4.666666667,5,
"Agriculture expansion causes deforestation, leading to climate change and loss of wildlife.","Agriculture is the primary cause of deforestation, climate change and loss of wildlife.",0.4574563333993254,0.7199999999999999,0.7788168787956238,0.7205058516833988,0.706676722,0.8743413925170899,6,5,6,5.125,5,5,6,6.5,7,5.142857143,6,7
"Animal agriculture leads to deforestation for grazing and feed crops, reducing biodiversity, polluting water, creating marine debris and ocean dead","Animal agriculture is the main cause of deforestation, biodiversity loss, water pollution/depletion, marine debris, ocean dead zones and more emissions than all transportation combined, ending it is the most effective climate action to take.",0.030862057,0.3272727272727272,0.5005930662155151,0.2913838120104439,0.2464388906955719,0.6472848892211914,6,5,4,5.333333333,5.5,5,5.5,6,6,5,6,7
"Global food systems expand agriculture, leading to habitat destruction and terrestrial biodiversity loss.","We need to urgently rethink our global food systems, which are responsible for 80% of deforestation, 70% of freshwater use, and the cause of terrestrial biodiversity loss. Modern agriculture has altered the face of the planet more than any other human activity.",0.023042824,0.2545454545454545,0.4757892489433288,0.2101457155284906,0.3680936396121979,0.7373047828674316,6,6,5,5,6,6,5,5,,4.666666667,4,
"Inadequate sanitation, hygiene, and drinking water lead to disease, worsening poverty and living standards.","The purpose of wastewater treatment technology is to transform waste into valuable goods that would help poverty -  clean water, electricity and fertilizer.",0.022783338,0.1666666666666666,0.3876971900463104,0.1234567901234567,0.1362431794404983,0.5998959064483642,6,7,6,7,7,7,6.666666667,7,7,6.666666667,7,7
"Lack of clean water and food leads to malnutrition and contamination, causing diseases.",Lack of clean water and food are the cause of the disease.,0.3364932442330152,0.64,0.786590576,0.5214178825289936,0.7274069786071777,0.8141323804855347,6,7,6,6.833333333,7,7,6.833333333,7,7,6.666666667,7,7
"Active volcanoes can erupt, displacing large water volumes and causing tsunamis.",Watch out! Active volcanoes can cause a tsunami effect.,0.1235622127262679,0.5,0.6931889653205872,0.4563492063492063,0.35957256,0.7009950637817383,5,6,5,6.4,7,7,6,6,6,5.8,6,6
"A destructive ice storm, powerful earthquake, severe wind storm, or solar flare can damage or destroy utility infrastructure, leading to","Destructive ice storms, earthquakes and severe storms can seriously disturb infrastructure.",0.023526225,0.5161290322580645,0.4547554850578308,0.4881358900271429,0.4248195886611938,0.7203080654144287,4,5,4,4.5,5,5,3.5,4,5,3.5,4,5
"Disruption of infrastructure limits resources, leading to deaths and injuries due to inadequate services.","The cause of deaths and injuries during an earthquake in a city is mainly due to collapsing infrastructure, service disruption and limited resources.",0.077564235,0.3783783783783784,0.617165744,0.3760219990670038,0.4493113756179809,0.6943969249725341,5,6,5,5.5,5.5,5,5.666666667,6,6,4.5,5,6
"Renewables generate energy without burning fossil fuels, thus causing less emissions.",Renewable energy sources cause less emissions,0.068372033,0.5882352941176471,0.6902414560317993,0.6656716417910449,0.5591098070144653,0.7373032808303833,6,6,5,5.5,5.5,,6.5,6.5,,5,5,
"Bees pollinate plants; without bees, plants fail to reproduce, leading to their withering and death.",The extinction of bees will cause the plants they pollinate to die.,0.030272533,0.2222222222222222,0.6495678424835205,0.2205882352941176,0.4253920614719391,0.7956284761428833,7,7,7,5.75,6,6,6,6,6,5.25,6,6
"Wind turbine farms generate noise and vibrations, disrupting whale communication and navigation, leading to increased mortality.",Wind turbines are one of the causes of the death of many birds which include 150 eagles at one location. his may cause the extinction of whale species which depend on these birds for their survival. Large areas covered with solar panels also kill birds and honeybees. In conclusion these solutions are no better than using oil which both have devastating impacts on animals. As a result we need better technologies that avoid this problem.,0.001154802,0.087912088,0.3610166311264038,0.057698091,0.1905298233032226,0.5974484920501709,6,6,5,5,5,5,4.6,5,3,4.75,5,5
Free radical damage and oxidative stress accelerate cellular aging by damaging DNA and proteins.,fruits and vegetables fights free radical damage and oxidative stress that cause ageing,0.2574866101628967,0.5185185185185186,0.5218923687934875,0.5320785984848485,0.38007468,0.5786134719848632,6,6,5,4,4,,4,4,,4.333333333,5,5
"Shaking causes landslides by destabilizing rocks and soil, pushing them downhill.",Earthquakes can trigger  rockslide and tsunamis. The shaking of the earth can cause rocks and soil to slide downhill or push water toward the shore. The latter causes a tsunami in places where it meets shallow water,0.018506297,0.25,0.5705398917198181,0.1734203296703296,0.36508894,0.6602116346359252,5,6,5,5.2,5,5,5,5,,5,5,
"Tsunamis, giant ocean waves caused by underwater earthquakes, lead to great destruction and casualties on coastal areas.","If you are wondering what is a tsunami: it is a series of ocean waves caused by earthquakes, underwater landslides that can cause great destruction and casualities.",0.1232091044330103,0.409090909,0.7051460146903992,0.3879310344827585,0.3989328145980835,0.716786551,6,7,6,5.75,5.5,5,6.666666667,7,7,5.5,5.5,
The next new moon causes an eclipse by aligning directly between Earth and the Sun.,The next new moon will cause an eclipse over north america,0.1820705281109212,0.5384615384615385,0.5634165406227112,0.5847382431233363,0.4600672721862793,0.7250092029571533,5,6,5,5.5,6,6,5.25,5,5,4.333333333,5,
The moon causes an eclipse by blocking the sun's light.,When the moon casts a shadow on the earth it will cause a solar eclipse.,0.033642025,0.3076923076923076,0.6396359801292419,0.2733262108262108,0.5157806873321533,0.7783538103103638,6,5,5,4.666666667,5,5,5.833333333,5.5,5,4.8,5,5
"Water acts as a prism, refracting light into different wavelengths, resulting in a spectrum of colors.",Water can cause the light to separate out by different wavelengths/ colours.,0.050912128,0.2857142857142857,0.7122941017150879,0.2735294117647059,0.3643141090869903,0.6097534418106079,5,5,4,5.5,5.5,5,4.875,5,6,5.25,5,5
"Uranium's atomic structure absorbs and re-emits light, altering its wavelength.","Urainium's structure can scatter ultraviolet light, which causes the light to be in a different wavelength thus making it appear green.",0.034053568,0.2352941176470588,0.6395463943481445,0.1528384279475982,0.3980735838413238,0.705369496,5,5,4,5,5,5,5.2,5,5,4.8,5,5
Very small water droplets in the air cause fog by scattering light.,"Due to the very small size of water droplets that cause fog, if light hits them you'll be able to see a sort of rainbow that is less intense.",0.026019405,0.3333333333333333,0.624806285,0.2547065337763012,0.3667972087860107,0.6974628925323486,6,7,6,4.75,4.5,4,4,4,,3.5,4,5
Goosebumps occur because hair muscles contract in response to cold or fear.,"When hair muscles contract, they cause goosebumps.",0.1235622127262679,0.3157894736842105,0.667103648,0.474468085,0.4405412971973419,0.8078575015068055,6,7,6,5.285714286,5,5,5.571428571,5,5,5.285714286,5,5
"Muscles contract, pulling on hair follicles, causing goosebumps.","Did you know goosebumps are make and cause by a muscle? At the base of every hair follicle are little fan-shaped muscles called Arrector pili. These muscles contract when the body is cold in an effort to warm the body up and make a person's hair to ""stand up straight"" on their skin aka goosebumps.",0.001095732,0.123076923,0.4781613945960998,0.1127232142857143,0.2139592915773391,0.6245326995849609,6,6,6,6,6,,6,6,,6,6,
"Solar storms emit charged particles that interact with Earth's magnetic field, causing auroras.",Solar storms cause aurora,0.052559234,0.4444444444444445,0.5872886180877686,0.7211538461538463,0.4776829779148102,0.7064563989639282,6,7,6,5.666666667,6,6,4.833333333,5,3,5,5,5
Changes in the body's chemistry can cause effects similar to hormonal imbalances.,The body's chemistry can cause effects similar to a medication when someone has that expectation,0.4032979040374044,0.6206896551724138,0.4224045872688293,0.5692295671198625,0.4568365514278412,0.5956963539123535,4,5,4,5.2,5,5,4,3,3,3.8,4,4
"Lack of sleep impairs cognitive function and hormone regulation, leading to memory problems, increased risk of heart attacks, strokes, diabetes,","A lack of sleep can be extremely detrimental in the long term. It has been shown to increase the risk of memory issues, heart attacks, strokes, diabetes and depression ",0.1811557629495533,0.4489795918367347,0.6441981792449951,0.3920807453416148,0.5170421600341797,0.8010563492774964,6,4,5,6.75,7,7,6.25,6.5,7,6.5,6.5,6
"Depression can be caused by a poor diet, disrupted sleep patterns, and excessive social media use, leading to emotional and","Depression is a complex mental health disorder that can arise from a combination of factors, including genetics, brain chemistry, life experiences, and even medical conditions. While factors like lack of proper diet, poor sleep patterns, and excessive social media use can contribute to or worsen depressive symptoms, it's important to understand that they are not the sole causes of depression for most people.",0.044215956,0.2857142857142857,0.4321902990341186,0.2254901960784313,0.3246815800666809,0.74724865,5,4,4,5,6,,5.666666667,5,5,4.666666667,5,
"Listening to music causes the brain to release dopamine, enhancing pleasure.",Listening to music can cause dopamine to be released in the brain. ,0.1626170171519488,0.5217391304347826,0.7794973254203796,0.6373076923076924,0.8095874190330505,0.8132204532623291,5,6,5,6.333333333,7,7,6.333333333,7,7,6.333333333,7,7
"Listening to music releases dopamine, causing feelings of pleasure.",Music causes dopamine production which elevates mood,0.037477767,0.25,0.7082293033599854,0.2027027027027027,0.3789431452751159,0.5878165245056153,6,7,6,6,7,7,5.4,5,7,5.6,5,7
"Listening to music causes the brain to release dopamine, enhancing mood.",music cause brain to release dopamine,0.2044800736021838,0.7058823529411764,0.6271935105323792,0.8789386401326702,0.4475067257881164,0.6442384958267212,6,7,6,7,7,,7,7,,7,7,
Lack of sleep causes paleness by reducing blood circulation and skin rejuvenation.,Sleep more for better health outcomes.,0.030890553,0.1111111111111111,0.4171384572982788,0.131578947,0.094813392,0.52564168,6,5,5,6.1,6.5,7,5.8,6,7,5.6,6,7
"Hugs cause the release of oxytocin, which promotes bonding and reduces stress.","Hug it out: studies conducted by scientists show that hugs cause the human body to produce oxytocin, which is a hormone that calms the nervous system and aids humans in relaxation.",0.034650963,0.2790697674418604,0.5890039205551147,0.219482422,0.4071434736251831,0.6860121488571167,6,7,6,6,6,6,6.75,7,7,6.666666667,7,7
Cats can cause oxytocin release in humans by triggering feelings of affection and calmness.,Cats are not the main cause of oxytocin ,0.037164991,0.2727272727272727,0.344196081,0.2298850574712644,0.3840484619140625,0.7099134683609009,6,6,5,5.5,5,5,4.5,4.5,,4.333333333,4,
High wind speeds can cause power lines to fall by snapping poles or dislodging cables.,Power flashes occur when wind speeds are so high that they cause the power lines to go down. ,0.1032277477721268,0.3636363636363636,0.6246658563613892,0.3755848930481283,0.3957003355026245,0.6752475500106812,6,6,6,6.333333333,6,6,6,6,,5,6,6
"Online game addiction can lead to poor sleep, depression, anxiety, and severe health issues, potentially causing death.","One of the most seriously behavioural addictions is that of excessive time spent on video games. It has the potential to cause seriously physical and mental health problems which includes but is not limited to poor sleep, anxiety, depression, and in the worst case scenario, death",0.059045642,0.2222222222222222,0.7063550353050232,0.2744066930918142,0.4457168877124786,0.7048282384872436,6,7,6,6.444444444,7,7,6.222222222,6,7,5.625,6.5,7
Ladybugs can secrete a fluid that triggers allergies or exacerbates asthma symptoms.,Ladybugs can cause allergic reactions or aggravate symptoms in asthma suffers ,0.077685628,0.3478260869565217,0.70120424,0.3321428571428571,0.5833536386489868,0.6294851303100586,6,7,6,5.285714286,5,5,5,5,6,5.285714286,5,5
Strong wind can cause damage by uprooting trees and detaching roof tiles.,"Winds reaching 50 mph, common during severe thunderstorms, can cause significant damage to your home. This damage might include broken windows, missing roof shingles, or even downed trees and power lines. Taking precautions before a storm hits can help minimize the risk to your property.",0.005003187,0.2105263157894737,0.4945030212402344,0.1106094074844075,0.2737089991569519,0.7224069356918335,6,7,6,6.4,7,7,6,6,6,5,6,6
"Lightning strikes can cause power outages, ignite fires, and damage buildings due to their high energy and heat.","The lightning strikes from thunders may cause power outages, fires, and even damage to buildings.",0.1881478574691709,0.5454545454545454,0.7018064856529236,0.6276069453875255,0.562022328,0.7400599479675293,6,7,6,6.5,6.5,6,6.333333333,6,6,6.333333333,6,6
"The laws of physics cause water molecules to form unique hexagonal patterns, creating snowflakes.",The laws of physics causes snowflakes.,0.1820705281109212,0.6,0.6890576481819153,0.875742702,0.6147165298461914,0.8215470552444458,5,4,4,5.25,5,5,4.5,4.5,3,4.125,3.5,3
"Low humidity allows faster heat dissipation, causing temperature drops.",The temperature drops causing no humidity ,0.089137655,0.2666666666666666,0.5832095146179199,0.4855769230769231,0.4340138137340545,0.4908092021942138,6,6,5,5.4,6,6,5.6,6,7,6.25,6.5,7
Carrots are orange because they were selectively bred for this color.,"Orange carrots were bred in that way in tribute to the Dutch royal House of Orange. In the wild, there also exist white and purple carrots!",0.01080888,0.1621621621621621,0.444970965,0.1098901098901098,0.2522653639316559,0.5997465133666993,5,6,5,4.571428571,4,3,4.857142857,5,5,4.571428571,5,3
"Eye color affects light sensitivity, altering vision in different lighting conditions.",The colour of someoneâs eyes can cause them to have different sight abilities in various lighting conditions.,0.088935846,0.2758620689655172,0.7050520777702332,0.3607142857142857,0.401439905,0.7051535606384277,6,6,5,6,6,,5,5,,5,5,
Pollution releases harmful chemicals that trigger oxidative stress and inflammation in the skin.,"Air pollution may cause oxidative stress and inflammation in the skin, ageing the skin prematurely. Antioxidants can help prevent this",0.252486524,0.4848484848484849,0.6073157787322998,0.4058933146983462,0.5443016886711121,0.6985278606414795,5,6,5,6,6,6,4.2,4,3,4.5,4.5,4
